,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
15,"Tue, Apr 4, 2023",7:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
16,"Tue, Apr 4, 2023",7:00p,Milwaukee Bucks,,Washington Wizards,,,,,Capital One Arena,
17,"Tue, Apr 4, 2023",7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
18,"Tue, Apr 4, 2023",7:00p,Miami Heat,,Detroit Pistons,,,,,Little Caesars Arena,
19,"Tue, Apr 4, 2023",7:30p,Minnesota Timberwolves,,Brooklyn Nets,,,,,Barclays Center,
20,"Tue, Apr 4, 2023",8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,
21,"Tue, Apr 4, 2023",8:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,FedEx Forum,
22,"Tue, Apr 4, 2023",8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
23,"Tue, Apr 4, 2023",8:00p,Boston Celtics,,Philadelphia 76ers,,,,,Wells Fargo Center,
24,"Tue, Apr 4, 2023",8:00p,Atlanta Hawks,,Chicago Bulls,,,,,United Center,
25,"Tue, Apr 4, 2023",9:00p,Los Angeles Lakers,,Utah Jazz,,,,,Vivint Arena,
26,"Tue, Apr 4, 2023",10:00p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,
27,"Tue, Apr 4, 2023",10:00p,San Antonio Spurs,,Phoenix Suns,,,,,Footprint Center,
