,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
180,"Tue, Dec 27, 2022",7:00p,Los Angeles Lakers,,Orlando Magic,,,,,Amway Center,
181,"Tue, Dec 27, 2022",7:00p,Philadelphia 76ers,,Washington Wizards,,,,,Capital One Arena,
182,"Tue, Dec 27, 2022",7:30p,Houston Rockets,,Boston Celtics,,,,,TD Garden,
183,"Tue, Dec 27, 2022",7:30p,Atlanta Hawks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
184,"Tue, Dec 27, 2022",7:30p,Los Angeles Clippers,,Toronto Raptors,,,,,Scotiabank Arena,
185,"Tue, Dec 27, 2022",8:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,
186,"Tue, Dec 27, 2022",8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,Paycom Center,
187,"Tue, Dec 27, 2022",8:30p,New York Knicks,,Dallas Mavericks,,,,,American Airlines Center,
188,"Tue, Dec 27, 2022",10:00p,Charlotte Hornets,,Golden State Warriors,,,,,Chase Center,
189,"Tue, Dec 27, 2022",10:00p,Denver Nuggets,,Sacramento Kings,,,,,Golden 1 Center,
