,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
88,"Mon, Feb 13, 2023",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,Spectrum Center,
89,"Mon, Feb 13, 2023",7:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
90,"Mon, Feb 13, 2023",7:00p,Utah Jazz,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
91,"Mon, Feb 13, 2023",7:00p,Houston Rockets,,Philadelphia 76ers,,,,,Wells Fargo Center,
92,"Mon, Feb 13, 2023",7:30p,Denver Nuggets,,Miami Heat,,,,,FTX Arena,
93,"Mon, Feb 13, 2023",7:30p,Brooklyn Nets,,New York Knicks,,,,,Madison Square Garden (IV),
94,"Mon, Feb 13, 2023",8:00p,Orlando Magic,,Chicago Bulls,,,,,United Center,
95,"Mon, Feb 13, 2023",8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,Paycom Center,
96,"Mon, Feb 13, 2023",8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
97,"Mon, Feb 13, 2023",10:00p,Washington Wizards,,Golden State Warriors,,,,,Chase Center,
98,"Mon, Feb 13, 2023",10:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,Moda Center,
