,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
17,"Wed, Jan 4, 2023",7:00p,Memphis Grizzlies,,Charlotte Hornets,,,,,Spectrum Center,
18,"Wed, Jan 4, 2023",7:00p,Phoenix Suns,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
19,"Wed, Jan 4, 2023",7:00p,Oklahoma City Thunder,,Orlando Magic,,,,,Amway Center,
20,"Wed, Jan 4, 2023",7:00p,Indiana Pacers,,Philadelphia 76ers,,,,,Wells Fargo Center,
21,"Wed, Jan 4, 2023",7:30p,San Antonio Spurs,,New York Knicks,,,,,Madison Square Garden (IV),
22,"Wed, Jan 4, 2023",7:30p,Milwaukee Bucks,,Toronto Raptors,,,,,Scotiabank Arena,
23,"Wed, Jan 4, 2023",8:00p,Brooklyn Nets,,Chicago Bulls,,,,,United Center,
24,"Wed, Jan 4, 2023",8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,Target Center,
25,"Wed, Jan 4, 2023",8:00p,Houston Rockets,,New Orleans Pelicans,,,,,Smoothie King Center,
26,"Wed, Jan 4, 2023",10:00p,Detroit Pistons,,Golden State Warriors,,,,,Chase Center,
27,"Wed, Jan 4, 2023",10:00p,Miami Heat,,Los Angeles Lakers,,,,,Crypto.com Arena,
28,"Wed, Jan 4, 2023",10:00p,Atlanta Hawks,,Sacramento Kings,,,,,Golden 1 Center,
