,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
150,"Wed, Mar 22, 2023",7:00p,Denver Nuggets,,Washington Wizards,,,,,Capital One Arena,
151,"Wed, Mar 22, 2023",7:30p,Golden State Warriors,,Dallas Mavericks,,,,,American Airlines Center,
152,"Wed, Mar 22, 2023",7:30p,New York Knicks,,Miami Heat,,,,,FTX Arena,
153,"Wed, Mar 22, 2023",7:30p,Indiana Pacers,,Toronto Raptors,,,,,Scotiabank Arena,
154,"Wed, Mar 22, 2023",8:00p,Philadelphia 76ers,,Chicago Bulls,,,,,United Center,
155,"Wed, Mar 22, 2023",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,FedEx Forum,
156,"Wed, Mar 22, 2023",8:00p,San Antonio Spurs,,Milwaukee Bucks,,,,,Fiserv Forum,
157,"Wed, Mar 22, 2023",8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,Target Center,
158,"Wed, Mar 22, 2023",9:00p,Portland Trail Blazers,,Utah Jazz,,,,,Vivint Arena,
159,"Wed, Mar 22, 2023",10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,
