,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
169,"Fri, Nov 25, 2022",5:00p,Minnesota Timberwolves,,Charlotte Hornets,,,,,Spectrum Center,
170,"Fri, Nov 25, 2022",7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
171,"Fri, Nov 25, 2022",7:30p,Portland Trail Blazers,,New York Knicks,,,,,Madison Square Garden (IV),
172,"Fri, Nov 25, 2022",8:00p,Sacramento Kings,,Boston Celtics,,,,,TD Garden,
173,"Fri, Nov 25, 2022",8:00p,Atlanta Hawks,,Houston Rockets,,,,,Toyota Center,
174,"Fri, Nov 25, 2022",8:00p,Brooklyn Nets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
175,"Fri, Nov 25, 2022",8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,FedEx Forum,
176,"Fri, Nov 25, 2022",8:00p,Washington Wizards,,Miami Heat,,,,,FTX Arena,
177,"Fri, Nov 25, 2022",8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,Fiserv Forum,
178,"Fri, Nov 25, 2022",8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,Paycom Center,
179,"Fri, Nov 25, 2022",8:00p,Los Angeles Lakers,,San Antonio Spurs,,,,,AT&T Center,
180,"Fri, Nov 25, 2022",9:00p,Detroit Pistons,,Phoenix Suns,,,,,Footprint Center,
181,"Fri, Nov 25, 2022",10:00p,Utah Jazz,,Golden State Warriors,,,,,Chase Center,
182,"Fri, Nov 25, 2022",10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
