,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
55,"Wed, Oct 26, 2022",7:00p,Orlando Magic,92,Cleveland Cavaliers,103,Box Score,,,Rocket Mortgage Fieldhouse,
56,"Wed, Oct 26, 2022",7:00p,Atlanta Hawks,118,Detroit Pistons,113,Box Score,,17987.0,Little Caesars Arena,
57,"Wed, Oct 26, 2022",7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,Box Score,,17341.0,Fiserv Forum,
58,"Wed, Oct 26, 2022",7:30p,Charlotte Hornets,131,New York Knicks,134,Box Score,OT,19812.0,Madison Square Garden (IV),
59,"Wed, Oct 26, 2022",7:30p,Philadelphia 76ers,109,Toronto Raptors,119,Box Score,,19800.0,Scotiabank Arena,
60,"Wed, Oct 26, 2022",8:00p,Indiana Pacers,109,Chicago Bulls,124,Box Score,,18306.0,United Center,
61,"Wed, Oct 26, 2022",8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,Box Score,,16165.0,Target Center,
62,"Wed, Oct 26, 2022",9:00p,Houston Rockets,101,Utah Jazz,109,Box Score,,18206.0,Vivint Arena,
63,"Wed, Oct 26, 2022",10:00p,Los Angeles Lakers,99,Denver Nuggets,110,Box Score,,19520.0,Ball Arena,
64,"Wed, Oct 26, 2022",10:00p,Miami Heat,119,Portland Trail Blazers,98,Box Score,,18588.0,Moda Center,
