,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
0,1,1,"Aug 27, 2022",7:00 PM,Sat,Florida Atlantic,43,,Charlotte,13,
1,2,1,"Aug 27, 2022",5:00 PM,Sat,Florida State,47,,Duquesne,7,
2,3,1,"Aug 27, 2022",4:00 PM,Sat,Illinois,38,,Wyoming,6,
3,4,1,"Aug 27, 2022",10:00 PM,Sat,Nevada,23,@,New Mexico State,12,
4,5,1,"Aug 27, 2022",3:30 PM,Sat,Nevada-Las Vegas,52,,Idaho State,21,
5,6,1,"Aug 27, 2022",8:00 PM,Sat,North Carolina,56,,Florida A&M,24,
6,7,1,"Aug 27, 2022",9:00 PM,Sat,North Texas,31,@,Texas-El Paso,13,
7,8,1,"Aug 27, 2022",12:30 PM,Sat,Northwestern,31,N,Nebraska,28,
8,9,1,"Aug 27, 2022",4:00 PM,Sat,Utah State,31,,Connecticut,20,
9,10,1,"Aug 27, 2022",10:30 PM,Sat,Vanderbilt,63,@,Hawaii,10,
10,11,1,"Aug 27, 2022",12:00 PM,Sat,Western Kentucky,38,,Austin Peay,27,
