,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
797,785,14,"Nov 25, 2022",3:00 PM,Fri,Arizona State,0,@,Arizona,0,
798,786,14,"Nov 25, 2022",3:30 PM,Fri,Arkansas,0,@,Missouri,0,
799,787,14,"Nov 25, 2022",1:00 PM,Fri,Baylor,0,@,(24) Texas,0,
800,788,14,"Nov 25, 2022",12:00 PM,Fri,Central Michigan,0,@,Eastern Michigan,0,
801,789,14,"Nov 25, 2022",7:30 PM,Fri,Florida,0,@,(16) Florida State,0,
802,790,14,"Nov 25, 2022",4:00 PM,Fri,Nebraska,0,@,Iowa,0,
803,791,14,"Nov 25, 2022",3:30 PM,Fri,New Mexico,0,@,Colorado State,0,
804,792,14,"Nov 25, 2022",3:30 PM,Fri,North Carolina State,0,@,(18) North Carolina,0,
805,793,14,"Nov 25, 2022",12:00 PM,Fri,Toledo,0,@,Western Michigan,0,
806,794,14,"Nov 25, 2022",12:00 PM,Fri,(19) Tulane,0,@,(21) Cincinnati,0,
807,795,14,"Nov 25, 2022",4:30 PM,Fri,(17) UCLA,0,@,California,0,
808,796,14,"Nov 25, 2022",12:00 PM,Fri,Utah State,0,@,Boise State,0,
809,797,14,"Nov 25, 2022",10:00 PM,Fri,Wyoming,0,@,Fresno State,0,
