,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
388,383,7,"Oct 8, 2022",8:00 PM,Sat,(1) Alabama,24,,Texas A&M,20,
389,384,7,"Oct 8, 2022",3:30 PM,Sat,Alabama-Birmingham,41,,Middle Tennessee State,14,
390,385,7,"Oct 8, 2022",4:00 PM,Sat,Arizona State,45,,(21) Washington,38,
391,386,7,"Oct 8, 2022",3:30 PM,Sat,Ball State,17,@,Central Michigan,16,
392,387,7,"Oct 8, 2022",9:45 PM,Sat,Boise State,40,,Fresno State,20,
393,388,7,"Oct 8, 2022",12:00 PM,Sat,Buffalo,38,@,Bowling Green,7,
394,389,7,"Oct 8, 2022",2:30 PM,Sat,(24) Cincinnati,28,,South Florida,24,
395,390,7,"Oct 8, 2022",7:30 PM,Sat,(5) Clemson,31,@,Boston College,3,
396,391,7,"Oct 8, 2022",8:00 PM,Sat,Coastal Carolina,28,@,Louisiana-Monroe,21,
397,392,7,"Oct 8, 2022",7:00 PM,Sat,Connecticut,33,@,Florida International,12,
398,393,7,"Oct 8, 2022",12:00 PM,Sat,Eastern Michigan,45,@,Western Michigan,23,
399,394,7,"Oct 8, 2022",12:00 PM,Sat,Florida,24,,Missouri,17,
400,395,7,"Oct 8, 2022",3:30 PM,Sat,(2) Georgia,42,,Auburn,10,
401,396,7,"Oct 8, 2022",2:00 PM,Sat,Georgia State,41,,Georgia Southern,33,
402,397,7,"Oct 8, 2022",4:00 PM,Sat,Georgia Tech,23,,Duke,20,
403,398,7,"Oct 8, 2022",7:30 PM,Sat,Illinois,9,,Iowa,6,
404,399,7,"Oct 8, 2022",7:00 PM,Sat,James Madison,42,@,Arkansas State,20,
405,400,7,"Oct 8, 2022",7:30 PM,Sat,(20) Kansas State,10,@,Iowa State,9,
406,401,7,"Oct 8, 2022",3:30 PM,Sat,Liberty,42,@,Massachusetts,24,
407,402,7,"Oct 8, 2022",7:00 PM,Sat,Louisiana Tech,41,,Texas-El Paso,31,
408,403,7,"Oct 8, 2022",12:00 PM,Sat,Louisville,34,@,Virginia,17,
409,404,7,"Oct 8, 2022",3:30 PM,Sat,Miami (OH),27,,Kent State,24,
410,405,7,"Oct 8, 2022",12:00 PM,Sat,(4) Michigan,31,@,Indiana,10,
411,406,7,"Oct 8, 2022",4:00 PM,Sat,(9) Mississippi,52,@,Vanderbilt,28,
412,407,7,"Oct 8, 2022",12:00 PM,Sat,(23) Mississippi State,40,,Arkansas,17,
413,408,7,"Oct 8, 2022",3:30 PM,Sat,Navy,53,,Tulsa,21,
414,409,7,"Oct 8, 2022",4:00 PM,Sat,North Carolina,27,@,Miami (FL),24,
415,410,7,"Oct 8, 2022",8:00 PM,Sat,(14) North Carolina State,19,,Florida State,17,
416,411,7,"Oct 8, 2022",7:30 PM,Sat,Notre Dame,28,N,(16) Brigham Young,20,
417,412,7,"Oct 8, 2022",2:00 PM,Sat,Ohio,55,,Akron,34,
418,413,7,"Oct 8, 2022",4:00 PM,Sat,(3) Ohio State,49,@,Michigan State,20,
419,414,7,"Oct 8, 2022",3:30 PM,Sat,(7) Oklahoma State,41,,Texas Tech,31,
420,415,7,"Oct 8, 2022",8:00 PM,Sat,(12) Oregon,49,@,Arizona,22,
421,416,7,"Oct 8, 2022",11:00 PM,Sat,Oregon State,28,@,Stanford,27,
422,417,7,"Oct 8, 2022",3:30 PM,Sat,Pittsburgh,45,,Virginia Tech,29,
423,418,7,"Oct 8, 2022",12:00 PM,Sat,Purdue,31,@,Maryland,29,
424,419,7,"Oct 8, 2022",10:30 PM,Sat,San Diego State,16,,Hawaii,14,
425,420,7,"Oct 8, 2022",7:30 PM,Sat,South Carolina,24,@,(13) Kentucky,14,
426,421,7,"Oct 8, 2022",7:30 PM,Sat,(6) Southern California,30,,Washington State,14,
427,422,7,"Oct 8, 2022",12:00 PM,Sat,(8) Tennessee,40,@,(25) Louisiana State,13,
428,423,7,"Oct 8, 2022",12:00 PM,Sat,Texas,49,N,Oklahoma,0,
429,424,7,"Oct 8, 2022",12:00 PM,Sat,(17) Texas Christian,38,@,(19) Kansas,31,
430,425,7,"Oct 8, 2022",7:00 PM,Sat,Texas State,36,,Appalachian State,24,
431,426,7,"Oct 8, 2022",6:00 PM,Sat,Texas-San Antonio,31,,Western Kentucky,28,
432,427,7,"Oct 8, 2022",3:30 PM,Sat,Toledo,52,@,Northern Illinois,32,
433,428,7,"Oct 8, 2022",7:00 PM,Sat,Troy,27,,Southern Mississippi,10,
434,429,7,"Oct 8, 2022",3:30 PM,Sat,Tulane,24,,East Carolina,9,
435,430,7,"Oct 8, 2022",3:30 PM,Sat,(18) UCLA,42,,(11) Utah,32,
436,431,7,"Oct 8, 2022",7:00 PM,Sat,Utah State,34,,Air Force,27,
437,432,7,"Oct 8, 2022",7:30 PM,Sat,(15) Wake Forest,45,,Army,10,
438,433,7,"Oct 8, 2022",3:30 PM,Sat,Wisconsin,42,@,Northwestern,7,
439,434,7,"Oct 8, 2022",7:00 PM,Sat,Wyoming,27,@,New Mexico,14,
