,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
98,97,3,"Sep 10, 2022",3:30 PM,Sat,Air Force,41,,Colorado,10,
99,98,3,"Sep 10, 2022",12:00 PM,Sat,(1) Alabama,20,@,Texas,19,
100,99,3,"Sep 10, 2022",3:30 PM,Sat,Appalachian State,17,@,(6) Texas A&M,14,
101,100,3,"Sep 10, 2022",12:00 PM,Sat,(16) Arkansas,44,,South Carolina,30,
102,101,3,"Sep 10, 2022",7:30 PM,Sat,Auburn,24,,San Jose State,16,
103,102,3,"Sep 10, 2022",10:15 PM,Sat,(21) Brigham Young,26,,(9) Baylor,20,
104,103,3,"Sep 10, 2022",4:00 PM,Sat,California,20,,Nevada-Las Vegas,14,
105,104,3,"Sep 10, 2022",3:30 PM,Sat,Cincinnati,63,,Kennesaw State,10,
106,105,3,"Sep 10, 2022",3:30 PM,Sat,(5) Clemson,35,,Furman,12,
107,106,3,"Sep 10, 2022",6:00 PM,Sat,Coastal Carolina,31,,Gardner-Webb,27,
108,107,3,"Sep 10, 2022",12:00 PM,Sat,Duke,31,@,Northwestern,23,
109,108,3,"Sep 10, 2022",6:00 PM,Sat,East Carolina,39,,Old Dominion,21,
110,109,3,"Sep 10, 2022",4:00 PM,Sat,Eastern Kentucky,59,@,Bowling Green,57,
111,110,3,"Sep 10, 2022",6:00 PM,Sat,Florida Atlantic,42,,Southeastern Louisiana,9,
112,111,3,"Sep 10, 2022",4:00 PM,Sat,(2) Georgia,33,,Samford,0,
113,112,3,"Sep 10, 2022",7:30 PM,Sat,Georgia Southern,45,@,Nebraska,42,
114,113,3,"Sep 10, 2022",7:00 PM,Sat,Georgia Tech,35,,Western Carolina,17,
115,114,3,"Sep 10, 2022",6:00 PM,Sat,Holy Cross,37,@,Buffalo,31,
116,115,3,"Sep 10, 2022",4:00 PM,Sat,Illinois,24,,Virginia,3,
117,116,3,"Sep 10, 2022",5:30 PM,Sat,Incarnate Word,55,@,Nevada,41,
118,117,3,"Sep 10, 2022",8:00 PM,Sat,Indiana,35,,Idaho,22,
119,118,3,"Sep 10, 2022",4:00 PM,Sat,Iowa State,10,@,Iowa,7,
120,119,3,"Sep 10, 2022",4:00 PM,Sat,James Madison,63,,Norfolk State,7,
121,120,3,"Sep 10, 2022",6:00 PM,Sat,Kansas,55,@,West Virginia,42,
122,121,3,"Sep 10, 2022",12:00 PM,Sat,Kansas State,40,,Missouri,12,
123,122,3,"Sep 10, 2022",7:00 PM,Sat,(20) Kentucky,26,@,(12) Florida,16,
124,123,3,"Sep 10, 2022",6:00 PM,Sat,Liberty,21,,Alabama-Birmingham,14,
