,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
693,2023-01-16,Philadelphia Flyers,,Boston Bruins,,,,,
694,2023-01-16,Florida Panthers,,Buffalo Sabres,,,,,
695,2023-01-16,New York Rangers,,Columbus Blue Jackets,,,,,
696,2023-01-16,Detroit Red Wings,,Colorado Avalanche,,,,,
697,2023-01-16,Calgary Flames,,Nashville Predators,,,,,
698,2023-01-16,Washington Capitals,,New York Islanders,,,,,
699,2023-01-16,Anaheim Ducks,,Pittsburgh Penguins,,,,,
700,2023-01-16,Tampa Bay Lightning,,Seattle Kraken,,,,,
701,2023-01-16,New Jersey Devils,,San Jose Sharks,,,,,
702,2023-01-16,Ottawa Senators,,St. Louis Blues,,,,,
703,2023-01-16,Dallas Stars,,Vegas Golden Knights,,,,,
